	FILENAME	TRACK TITLE FOR REPORTING	COMPOSER/S 		PUBLISHER	DESCRIPTION	BPM	SUGGESTED USE	keywords
SERIES 12	MKRS12_TENSE COOK_NOT TO PLAN_623_CT_FULL.wav	MY KITCHEN RULES SERIES 12 CT (BACKGROUND) 	CT 50 TO Cassandra / 10 STEWART Mitchell / 20 WICKS Dinesh/ 20  GOCK Adam		RED MUSIC PUBLISHING	Tracks with pace and a sense of urgency but not too over the top. Sense of time running out and competition.		Kitchen HW Tense Cook	
SERIES 12	MKRS12_COOK_CRACKED PEPPER_1114v2_RC_FULL.wav	MY KITCHEN RULES SERIES 12 RC (BACKGROUND) 	RC 50 CHENOWETH Rory/ 10 STEWART Mitchell / 20 WICKS Dinesh/ 20  GOCK Adam		RED MUSIC PUBLISHING	Tracks with energy and movement without being too frantic and slight sense of optimism. Understated, stripped back, simple.		Neutral Cook	
SERIES 12	MKRS12_COOK_SPICE GRINDER_1106v2_RC_FULL.wav	MY KITCHEN RULES SERIES 12 RC (BACKGROUND) 	RC 50 CHENOWETH Rory/ 10 STEWART Mitchell / 20 WICKS Dinesh/ 20  GOCK Adam		RED MUSIC PUBLISHING	Minimal orchestra, driving, featuring fun syncopated rhythms and energy from Eurovision Refs.		Cook / Action / Energy	
SERIES 12	MKRS12_COOKING JEOPARDY_HOT KITCHEN_1103v2_RC_FULL.wav	MY KITCHEN RULES SERIES 12 RC (BACKGROUND) 	RC 50 CHENOWETH Rory/ 10 STEWART Mitchell / 20 WICKS Dinesh/ 20  GOCK Adam		RED MUSIC PUBLISHING	Minimal orchestra, driving, featuring fun syncopated rhythms and energy from Eurovision Refs.		Cook / Action / Energy	
SERIES 12	MKRS12_LIGHT TENSION_COOKING STRESS_1116_RC_FULL.wav	MY KITCHEN RULES SERIES 12 RC (BACKGROUND) 	RC 50 CHENOWETH Rory/ 10 STEWART Mitchell / 20 WICKS Dinesh/ 20  GOCK Adam		RED MUSIC PUBLISHING	Cooking jeopardy so they should have a sense of mystery or concern about them. Not too busy, not too driving.		Cook with sense of underlying tension	
SERIES 12	MKRS12_LIGHT TENSION_DRY OR MOIST_1102_RC_FULL.wav	MY KITCHEN RULES SERIES 12 RC (BACKGROUND) 	RC 50 CHENOWETH Rory/ 10 STEWART Mitchell / 20 WICKS Dinesh/ 20  GOCK Adam		RED MUSIC PUBLISHING	Pensive, pacing, lite tension, often with a sense of ticking		Light Tension	
SERIES 12	MKRS12_NEUTRAL COOK_BAKED_1112_RC_FULL.wav	MY KITCHEN RULES SERIES 12 RC (BACKGROUND) 	RC 50 CHENOWETH Rory/ 10 STEWART Mitchell / 20 WICKS Dinesh/ 20  GOCK Adam		RED MUSIC PUBLISHING	Tracks with energy and movement without being too frantic and slight sense of optimism. 		Neutral Cook/Positive	
SERIES 12	MKRS12_NEUTRAL COOK_STIRRING AWAY_1110_RC_FULL.wav	MY KITCHEN RULES SERIES 12 RC (BACKGROUND) 	RC 50 CHENOWETH Rory/ 10 STEWART Mitchell / 20 WICKS Dinesh/ 20  GOCK Adam		RED MUSIC PUBLISHING	Tracks with pace (not too frantic).		Neutral Cook / Shopping	
SERIES 12	MKRS12_NEUTRAL TO POSITIVE FEEDBACK_PRETTY GOOD PARFAIT_1104v2_RC_FULL.wav	MY KITCHEN RULES SERIES 12 RC (BACKGROUND) 	RC 50 CHENOWETH Rory/ 10 STEWART Mitchell / 20 WICKS Dinesh/ 20  GOCK Adam		RED MUSIC PUBLISHING	Tracks start off neutral/unsure which way they are heading and develop into a positive/optimistic tone / tracks that bubble along and don’t get in the way of dialogue / have an element of warmth. 		Neutral to Positive	
SERIES 12	MKRS12_NEUTRAL TO POSITIVE_ON POINT_1111_RC_FULL.wav	MY KITCHEN RULES SERIES 12 RC (BACKGROUND) 	RC 50 CHENOWETH Rory/ 10 STEWART Mitchell / 20 WICKS Dinesh/ 20  GOCK Adam		RED MUSIC PUBLISHING	Tracks start off neutral/unsure which way they are heading and develop into a positive/optimistic tone / tracks that bubble along and don’t get in the way of dialogue / have an element of warmth. 		Neutral to Positive	
SERIES 12	MKRS12_NEUTRAL_PLATING FINESSE_1117_RC_FULL.wav	MY KITCHEN RULES SERIES 12 RC (BACKGROUND) 	RC 50 CHENOWETH Rory/ 10 STEWART Mitchell / 20 WICKS Dinesh/ 20  GOCK Adam		RED MUSIC PUBLISHING	Tracks with energy and movement without being too frantic and with a slight sense of optimism. Understated, stripped back, simple. Nice even pace without too much going on. 		Neutral Cook	
SERIES 12	MKRS12_NEUTRAL_SWEET SET UP_1105v2_RC_FULL.wav	MY KITCHEN RULES SERIES 12 RC (BACKGROUND) 	RC 50 CHENOWETH Rory/ 10 STEWART Mitchell / 20 WICKS Dinesh/ 20  GOCK Adam		RED MUSIC PUBLISHING	Tracks with energy and movement without being too frantic and with a slight sense of optimism. Understated, stripped back, simple. Nice even pace without too much going on. 		Neutral Cook	
SERIES 12	MKRS12_NEUTRAL_WARM FEEDBACK_1108_RC_FULL.wav	MY KITCHEN RULES SERIES 12 RC (BACKGROUND) 	RC 50 CHENOWETH Rory/ 10 STEWART Mitchell / 20 WICKS Dinesh/ 20  GOCK Adam		RED MUSIC PUBLISHING	Positive/optimistic tone, tracks that bubble along and don’t get in the way of dialogue, element of warmth.		Neutral / Positive	
SERIES 12	MKRS12_POSITIVE COOK_CRACKING ON_1113v2_RC_FULL.wav	MY KITCHEN RULES SERIES 12 RC (BACKGROUND) 	RC 50 CHENOWETH Rory/ 10 STEWART Mitchell / 20 WICKS Dinesh/ 20  GOCK Adam		RED MUSIC PUBLISHING	Warm, uplifting		Positive	
SERIES 12	MKRS12_POSITIVE RESULT_GREAT COMEBACK_1101v4_RC_FULL.wav	MY KITCHEN RULES SERIES 12 RC (BACKGROUND) 	RC 50 CHENOWETH Rory/ 10 STEWART Mitchell / 20 WICKS Dinesh/ 20  GOCK Adam		RED MUSIC PUBLISHING	More orchestral / band approach to positive result.		Positive Result	
SERIES 12	MKRS12_QUIRKY FUN_CHOPPY CHIP CHOP_1107_RC_FULL.wav	MY KITCHEN RULES SERIES 12 RC (BACKGROUND) 	RC 50 CHENOWETH Rory/ 10 STEWART Mitchell / 20 WICKS Dinesh/ 20  GOCK Adam		RED MUSIC PUBLISHING	Tracks with pauses and gaps, to allow the funny moments / awkward moments to cut through.		Quirky / Fun	
SERIES 12	MKRS12_TENSION_CLOSING IN_1119_RC_FULL.wav	MY KITCHEN RULES SERIES 12 RC (BACKGROUND) 	RC 50 CHENOWETH Rory/ 10 STEWART Mitchell / 20 WICKS Dinesh/ 20  GOCK Adam		RED MUSIC PUBLISHING	Tracks with pace and a sense of urgency but not too over the top. Sense of time running out and competition.		Kitchen HW Tense Cook	
SERIES 12	MKRS12_TENSION_RUNNING OUT OF TIME_1118_RC_FULL.wav	MY KITCHEN RULES SERIES 12 RC (BACKGROUND) 	RC 50 CHENOWETH Rory/ 10 STEWART Mitchell / 20 WICKS Dinesh/ 20  GOCK Adam		RED MUSIC PUBLISHING	Tracks with pace and a sense of urgency but not too over the top. Sense of time running out and competition.		Kitchen HW Tense Cook	
SERIES 12	MKRS12_COOK_SPICE GRINDER_1106v2_RC.wav	MY KITCHEN RULES SERIES 12 RC (BACKGROUND) 	RC 50 CHENOWETH Rory/ 10 STEWART Mitchell / 20 WICKS Dinesh/ 20  GOCK Adam		RED MUSIC PUBLISHING	Driving / pacey has a sense of momentum and drive, perhaps some jeopardy, clock is ticking		Cook / Action / Energy	
SERIES 12	MKRS12_COOKING JEOPARDY_HOT KITCHEN_1103v2_RC.wav	MY KITCHEN RULES SERIES 12 RC (BACKGROUND) 	RC 50 CHENOWETH Rory/ 10 STEWART Mitchell / 20 WICKS Dinesh/ 20  GOCK Adam		RED MUSIC PUBLISHING	Driving / pacey has a sense of momentum and drive, perhaps some jeopardy, clock is ticking		Cook / Action / Energy	
SERIES 12	MKRS12_NEUTRAL TO POSITIVE_ON POINT_1111_RC.wav	MY KITCHEN RULES SERIES 12 RC (BACKGROUND) 	RC 50 CHENOWETH Rory/ 10 STEWART Mitchell / 20 WICKS Dinesh/ 20  GOCK Adam		RED MUSIC PUBLISHING	Tracks start off neutral/unsure which way they are heading and develop into a positive/optimistic tone / tracks that bubble along and don’t get in the way of dialogue / have an element of warmth. 		Neutral to Positive	
SERIES 12	MKRS12_NEUTRAL_WARM FEEDBACK_1108_RC.wav	MY KITCHEN RULES SERIES 12 RC (BACKGROUND) 	RC 50 CHENOWETH Rory/ 10 STEWART Mitchell / 20 WICKS Dinesh/ 20  GOCK Adam		RED MUSIC PUBLISHING	Positive/optimistic tone, tracks that bubble along and don’t get in the way of dialogue, element of warmth.		Neutral / Positive	
SERIES 12	MKRS12_QUIRKY FUN_CHOPPY CHIP CHOP_1107_RC.wav	MY KITCHEN RULES SERIES 12 RC (BACKGROUND) 	RC 50 CHENOWETH Rory/ 10 STEWART Mitchell / 20 WICKS Dinesh/ 20  GOCK Adam		RED MUSIC PUBLISHING	Tracks with pauses and gaps, to allow the funny moments / awkward moments to cut through.		Quirky / Fun	
SERIES 12	MKRS12_COOK_DRIVE_NOTYET_402_RT_FULL.wav	MY KITCHEN RULES SERIES 12 RT (BACKGROUND) 	RT 50 THORNTON Rusell/ 10 STEWART Mitchell/ 20 WICKS Dinesh/ 20 GOCK Adam		RED MUSIC PUBLISHING	Driving / pacey has a sense of momentum and drive, perhaps some jeopardy, clock is ticking		Cook / Action / Energy	
SERIES 12	MKRS12_COOK_POP N CRACKLE_403_RT_FULL.wav	MY KITCHEN RULES SERIES 12 RT (BACKGROUND) 	RT 50 THORNTON Rusell/ 10 STEWART Mitchell/ 20 WICKS Dinesh/ 20 GOCK Adam		RED MUSIC PUBLISHING	Driving / pacey has a sense of momentum and drive, perhaps some jeopardy, clock is ticking		Cook / Action / Energy	
SERIES 12	MKRS12_COOK_PRESSURE COOKER_408_RT_FULL.wav	MY KITCHEN RULES SERIES 12 RT (BACKGROUND) 	RT 50 THORNTON Rusell/ 10 STEWART Mitchell/ 20 WICKS Dinesh/ 20 GOCK Adam		RED MUSIC PUBLISHING	Driving / pacey has a sense of momentum and drive, perhaps some jeopardy, clock is ticking		Cook / Action / Energy	
SERIES 12	MKRS12_CRITIQUE_WARM HUGS_410_RT_FULL.wav	MY KITCHEN RULES SERIES 12 RT (BACKGROUND) 	RT 50 THORNTON Rusell/ 10 STEWART Mitchell/ 20 WICKS Dinesh/ 20 GOCK Adam		RED MUSIC PUBLISHING	Positive/optimistic tone, tracks that bubble along and don’t get in the way of dialogue, element of warmth.		Neutral / Positive	
SERIES 12	MKRS12_KHQCOOK_CLOCKS ON_421_v2_RT_FULL.wav	MY KITCHEN RULES SERIES 12 RT (BACKGROUND) 	RT 50 THORNTON Rusell/ 10 STEWART Mitchell/ 20 WICKS Dinesh/ 20 GOCK Adam		RED MUSIC PUBLISHING	Tracks with pace and a sense of urgency but not too over the top. Sense of time running out and competition.		Kitchen HW Tense Cook	
SERIES 12	MKRS12_KHQCOOK_ROCK N BREADROLL_420_v2_RT_FULL.wav	MY KITCHEN RULES SERIES 12 RT (BACKGROUND) 	RT 50 THORNTON Rusell/ 10 STEWART Mitchell/ 20 WICKS Dinesh/ 20 GOCK Adam		RED MUSIC PUBLISHING	Tracks with pace and a sense of urgency but not too over the top. Sense of time running out and competition.		Kitchen HW Tense Cook	
SERIES 12	MKRS12_MATT & KT_ORGANIC_411_RT_FULL.wav	MY KITCHEN RULES SERIES 12 RT (BACKGROUND) 	RT 50 THORNTON Rusell/ 10 STEWART Mitchell/ 20 WICKS Dinesh/ 20 GOCK Adam		RED MUSIC PUBLISHING	Team / character tracks, cooking		Character Tracks	
SERIES 12	MKRS12_NEUT TO POS_BALANCE_413_RT_FULL.wav	MY KITCHEN RULES SERIES 12 RT (BACKGROUND) 	RT 50 THORNTON Rusell/ 10 STEWART Mitchell/ 20 WICKS Dinesh/ 20 GOCK Adam		RED MUSIC PUBLISHING	Tracks start off neutral/unsure which way they are heading and develop into a positive/optimistic tone / tracks that bubble along and don’t get in the way of dialogue / have an element of warmth. 		Neutral to Positive	
SERIES 12	MKRS12_NEUTRAL_IOH YOU_416_v2_RT_FULL.wav	MY KITCHEN RULES SERIES 12 RT (BACKGROUND) 	RT 50 THORNTON Rusell/ 10 STEWART Mitchell/ 20 WICKS Dinesh/ 20 GOCK Adam		RED MUSIC PUBLISHING	Tracks with energy and movement without being too frantic and slight sense of optimism. Understated, stripped back, simple.		Neutral Cook	
SERIES 12	MKRS12_NEUTRALCOOK_GOODNESS_419_RT_FULL.wav	MY KITCHEN RULES SERIES 12 RT (BACKGROUND) 	RT 50 THORNTON Rusell/ 10 STEWART Mitchell/ 20 WICKS Dinesh/ 20 GOCK Adam		RED MUSIC PUBLISHING	Tracks with energy and movement without being too frantic and with a slight sense of optimism. Understated, stripped back, simple. Nice even pace without too much going on. 		Neutral Cook	
SERIES 12	MKRS12_POSITIVE_IT WORKED_415_RT_FULL.wav	MY KITCHEN RULES SERIES 12 RT (BACKGROUND) 	RT 50 THORNTON Rusell/ 10 STEWART Mitchell/ 20 WICKS Dinesh/ 20 GOCK Adam		RED MUSIC PUBLISHING	More orchestral / band approach to positive result.		Positive Result	
SERIES 12	MKRS12_POSITIVE_OUR DAY_407_RT_FULL.wav	MY KITCHEN RULES SERIES 12 RT (BACKGROUND) 	RT 50 THORNTON Rusell/ 10 STEWART Mitchell/ 20 WICKS Dinesh/ 20 GOCK Adam		RED MUSIC PUBLISHING	Positive/optimistic tone, tracks that bubble along and don’t get in the way of dialogue, element of warmth.		Neutral / Positive	
SERIES 12	MKRS12_QUIRKY_FUNKY FAJITAS_409_RT_FULL.wav	MY KITCHEN RULES SERIES 12 RT (BACKGROUND) 	RT 50 THORNTON Rusell/ 10 STEWART Mitchell/ 20 WICKS Dinesh/ 20 GOCK Adam		RED MUSIC PUBLISHING	Tracks with pauses and gaps, to allow the funny moments / awkward moments to cut through.		Quirky / Fun	
SERIES 12	MKRS12_SHOPPING_FREEZA_412_RT_FULL.wav	MY KITCHEN RULES SERIES 12 RT (BACKGROUND) 	RT 50 THORNTON Rusell/ 10 STEWART Mitchell/ 20 WICKS Dinesh/ 20 GOCK Adam		RED MUSIC PUBLISHING	Tracks with pace (not too frantic).		Neutral Cook / Shopping	
SERIES 12	MKRS12_SHOPPING_SUNNY SIDE UP_414_RT_FULL.wav	MY KITCHEN RULES SERIES 12 RT (BACKGROUND) 	RT 50 THORNTON Rusell/ 10 STEWART Mitchell/ 20 WICKS Dinesh/ 20 GOCK Adam		RED MUSIC PUBLISHING	Tracks with energy and movement without being too frantic and slight sense of optimism. 		Neutral Cook/Positive	
SERIES 12	MKRS12_TASTING_CARAMELISATION_406_RT_FULL.wav	MY KITCHEN RULES SERIES 12 RT (BACKGROUND) 	RT 50 THORNTON Rusell/ 10 STEWART Mitchell/ 20 WICKS Dinesh/ 20 GOCK Adam		RED MUSIC PUBLISHING	Pensive, pacing, lite tension, often with a sense of ticking		Light Tension	
SERIES 12	MKRS12_COOK_SASSYCHEFS_703v2_AS_FULL.wav	MY KITCHEN RULES SERIES 12 AS (BACKGROUND) 	AS 50 SOFO Adam/ 10 STEWART Mitchell/ 20 WICKS Dinesh/ 20 GOCK Adam		RED MUSIC PUBLISHING	Minimal orchestra, driving, featuring fun syncopated rhythms and energy from Eurovision Refs.		Cook / Action / Energy	
SERIES 12	MKRS12_COOK-ENERGY_BIGTROUBLE_704v3_AS_FULL.wav	MY KITCHEN RULES SERIES 12 AS (BACKGROUND) 	AS 50 SOFO Adam/ 10 STEWART Mitchell/ 20 WICKS Dinesh/ 20 GOCK Adam		RED MUSIC PUBLISHING	Minimal orchestra, driving, featuring fun syncopated rhythms and energy from Eurovision Refs.		Cook / Action / Energy	
SERIES 12	MKRS12_LITE TENSE_LIFTMEUP_716_AS_FULL.wav	MY KITCHEN RULES SERIES 12 AS (BACKGROUND) 	AS 50 SOFO Adam/ 10 STEWART Mitchell/ 20 WICKS Dinesh/ 20 GOCK Adam		RED MUSIC PUBLISHING	Tracks start off neutral/unsure which way they are heading and develop into a positive/optimistic tone / tracks that bubble along and don’t get in the way of dialogue / have an element of warmth. 		Neutral to Positive	
SERIES 12	MKRS12_LITE-TENSE_STICKYPUDDING_707_AS_FULL.wav	MY KITCHEN RULES SERIES 12 AS (BACKGROUND) 	AS 50 SOFO Adam/ 10 STEWART Mitchell/ 20 WICKS Dinesh/ 20 GOCK Adam		RED MUSIC PUBLISHING	Pensive, pacing, lite tension, often with a sense of ticking		Light Tension	
SERIES 12	MKRS12_LITE-TENSE_TASTETEST_711_AS_FULL.wav	MY KITCHEN RULES SERIES 12 AS (BACKGROUND) 	AS 50 SOFO Adam/ 10 STEWART Mitchell/ 20 WICKS Dinesh/ 20 GOCK Adam		RED MUSIC PUBLISHING	Pensive, pacing, lite tension, often with a sense of ticking		Light Tension	
SERIES 12	MKRS12_NEG-POS-LITE_PUSHTHEBOUNDARIES_702v2_AS_FULL.wav	MY KITCHEN RULES SERIES 12 AS (BACKGROUND) 	AS 50 SOFO Adam/ 10 STEWART Mitchell/ 20 WICKS Dinesh/ 20 GOCK Adam		RED MUSIC PUBLISHING	More orchestral / band approach to positive result.		Positive Result	
SERIES 12	MKRS12_NEUTRAL_COOK_GROOVEYCHEF_718_AS_FULL.wav	MY KITCHEN RULES SERIES 12 AS (BACKGROUND) 	AS 50 SOFO Adam/ 10 STEWART Mitchell/ 20 WICKS Dinesh/ 20 GOCK Adam		RED MUSIC PUBLISHING	Tracks with energy and movement without being too frantic and slight sense of optimism. Understated, stripped back, simple.		Neutral Cook	
SERIES 12	MKRS12_NEUTRAL_COOK_SLICEnDICE_719v2_AS_FULL.wav	MY KITCHEN RULES SERIES 12 AS (BACKGROUND) 	AS 50 SOFO Adam/ 10 STEWART Mitchell/ 20 WICKS Dinesh/ 20 GOCK Adam		RED MUSIC PUBLISHING	Tracks with energy and movement without being too frantic and slight sense of optimism. Understated, stripped back, simple.		Neutral Cook	
SERIES 12	MKRS12_NEUTRAL_COOK_SUBTLESTIR_717_AS_FULL.wav	MY KITCHEN RULES SERIES 12 AS (BACKGROUND) 	AS 50 SOFO Adam/ 10 STEWART Mitchell/ 20 WICKS Dinesh/ 20 GOCK Adam		RED MUSIC PUBLISHING	Tracks with energy and movement without being too frantic and slight sense of optimism. Understated, stripped back, simple.		Neutral Cook	
SERIES 12	MKRS12_NEUTRAL_COOK_TARTSHELLS_720v2_AS_FULL.wav	MY KITCHEN RULES SERIES 12 AS (BACKGROUND) 	AS 50 SOFO Adam/ 10 STEWART Mitchell/ 20 WICKS Dinesh/ 20 GOCK Adam		RED MUSIC PUBLISHING	Tracks with energy and movement without being too frantic and slight sense of optimism. Understated, stripped back, simple.		Neutral Cook	
SERIES 12	MKRS12_NEUTRAL_COOK_UNDERTONES_715_AS_FULL.wav	MY KITCHEN RULES SERIES 12 AS (BACKGROUND) 	AS 50 SOFO Adam/ 10 STEWART Mitchell/ 20 WICKS Dinesh/ 20 GOCK Adam		RED MUSIC PUBLISHING	Tracks with energy and movement without being too frantic and slight sense of optimism. 		Neutral Cook/Positive	
SERIES 12	MKRS12_NEUTRAL_ZEST&ZING_710_AS_FULL.wav	MY KITCHEN RULES SERIES 12 AS (BACKGROUND) 	AS 50 SOFO Adam/ 10 STEWART Mitchell/ 20 WICKS Dinesh/ 20 GOCK Adam		RED MUSIC PUBLISHING	Positive/optimistic tone, tracks that bubble along and don’t get in the way of dialogue, element of warmth.		Neutral / Positive	
SERIES 12	MKRS12_NEUTRAL-POS_BALANCED_714_AS_FULL.wav	MY KITCHEN RULES SERIES 12 AS (BACKGROUND) 	AS 50 SOFO Adam/ 10 STEWART Mitchell/ 20 WICKS Dinesh/ 20 GOCK Adam		RED MUSIC PUBLISHING	Tracks start off neutral/unsure which way they are heading and develop into a positive/optimistic tone / tracks that bubble along and don’t get in the way of dialogue / have an element of warmth. 		Neutral to Positive	
SERIES 12	MKRS12_QUIRKY_SLEEK&SAUCEY_712_AS_FULL.wav	MY KITCHEN RULES SERIES 12 AS (BACKGROUND) 	AS 50 SOFO Adam/ 10 STEWART Mitchell/ 20 WICKS Dinesh/ 20 GOCK Adam		RED MUSIC PUBLISHING	Tracks with pauses and gaps, to allow the funny moments / awkward moments to cut through.		Quirky / Fun	
SERIES 12	MKRS12_REFLECTIVE_NOGOOBYES_705_AS_FULL.wav	MY KITCHEN RULES SERIES 12 AS (BACKGROUND) 	AS 50 SOFO Adam/ 10 STEWART Mitchell/ 20 WICKS Dinesh/ 20 GOCK Adam		RED MUSIC PUBLISHING	More orchestral / band approach to positive result.		Positive Result	
SERIES 12	MKRS12_SHOPPING_BUSYPREP_713_AS_FULL.wav	MY KITCHEN RULES SERIES 12 AS (BACKGROUND) 	AS 50 SOFO Adam/ 10 STEWART Mitchell/ 20 WICKS Dinesh/ 20 GOCK Adam		RED MUSIC PUBLISHING	Tracks with pace (not too frantic).		Neutral Cook / Shopping	
SERIES 12	MKRS12_COOKING_CHOP CHOP_201_DH_FULL.wav	MY KITCHEN RULES SERIES 12 DH (BACKGROUND) 	DH 50 HUXTABLE David/ 10 STEWART Mitchell/ 20 WICKS Dinesh/ 20 GOCK Adam		RED MUSIC PUBLISHING	Minimal orchestra, driving, featuring fun syncopated rhythms and energy from Eurovision Refs.		Cook / Action / Energy	
SERIES 12	MKRS12_COOKING_HOT n SPICY_206_DH_FULL.wav	MY KITCHEN RULES SERIES 12 DH (BACKGROUND) 	DH 50 HUXTABLE David/ 10 STEWART Mitchell/ 20 WICKS Dinesh/ 20 GOCK Adam		RED MUSIC PUBLISHING	Minimal orchestra, driving, featuring fun syncopated rhythms and energy from Eurovision Refs.		Cook / Action / Energy	
SERIES 12	MKRS12_COOKING_IN THE ZONE_202_DH_FULL.wav	MY KITCHEN RULES SERIES 12 DH (BACKGROUND) 	DH 50 HUXTABLE David/ 10 STEWART Mitchell/ 20 WICKS Dinesh/ 20 GOCK Adam		RED MUSIC PUBLISHING	Minimal orchestra, driving, featuring fun syncopated rhythms and energy from Eurovision Refs.		Cook / Action / Energy	
SERIES 12	MKRS12_COOKING_SPANISH BOUNCE_205_DH_FULL.wav	MY KITCHEN RULES SERIES 12 DH (BACKGROUND) 	DH 50 HUXTABLE David/ 10 STEWART Mitchell/ 20 WICKS Dinesh/ 20 GOCK Adam		RED MUSIC PUBLISHING	Spanish / updated Flamenco		Character tracks Rodrigo & Gabriella	
SERIES 12	MKRS12_NEUTRAL COOKING_BUBBLING ALONG_210_DH_FULL.wav	MY KITCHEN RULES SERIES 12 DH (BACKGROUND) 	DH 50 HUXTABLE David/ 10 STEWART Mitchell/ 20 WICKS Dinesh/ 20 GOCK Adam		RED MUSIC PUBLISHING	Tracks with energy and movement without being too frantic and slight sense of optimism. 		Neutral Cook/Positive	
SERIES 12	MKRS12_NEUTRAL COOKING_CHUGGING ALONG_211_DH_FULL.wav	MY KITCHEN RULES SERIES 12 DH (BACKGROUND) 	DH 50 HUXTABLE David/ 10 STEWART Mitchell/ 20 WICKS Dinesh/ 20 GOCK Adam		RED MUSIC PUBLISHING	Tracks with energy and movement without being too frantic and with a slight sense of optimism. Understated, stripped back, simple. Nice even pace without too much going on. 		Neutral Cook	
SERIES 12	MKRS12_NEUTRAL COOKING_COOKING GROOVE_213_DH_FULL.wav	MY KITCHEN RULES SERIES 12 DH (BACKGROUND) 	DH 50 HUXTABLE David/ 10 STEWART Mitchell/ 20 WICKS Dinesh/ 20 GOCK Adam		RED MUSIC PUBLISHING	Tracks with energy and movement without being too frantic and with a slight sense of optimism. Understated, stripped back, simple. Nice even pace without too much going on. 		Neutral Cook	
SERIES 12	MKRS12_NEUTRAL COOKING_JUST COOKING_212_DH_FULL.wav	MY KITCHEN RULES SERIES 12 DH (BACKGROUND) 	DH 50 HUXTABLE David/ 10 STEWART Mitchell/ 20 WICKS Dinesh/ 20 GOCK Adam		RED MUSIC PUBLISHING	Tracks with energy and movement without being too frantic and with a slight sense of optimism. Understated, stripped back, simple. Nice even pace without too much going on. 		Neutral Cook	
SERIES 12	MKRS12_NEUTRAL COOKING_MAKIN FLAVOURS_209_DH_FULL.wav	MY KITCHEN RULES SERIES 12 DH (BACKGROUND) 	DH 50 HUXTABLE David/ 10 STEWART Mitchell/ 20 WICKS Dinesh/ 20 GOCK Adam		RED MUSIC PUBLISHING	Tracks with energy and movement without being too frantic and slight sense of optimism. 		Neutral Cook/Positive	
SERIES 12	MKRS12_NEUTRAL_LIGHT AND PULSING_207_DH_FULL.wav	MY KITCHEN RULES SERIES 12 DH (BACKGROUND) 	DH 50 HUXTABLE David/ 10 STEWART Mitchell/ 20 WICKS Dinesh/ 20 GOCK Adam		RED MUSIC PUBLISHING	Positive/optimistic tone, tracks that bubble along and don’t get in the way of dialogue, element of warmth.		Neutral / Positive	
SERIES 12	MKRS12_NEUTRAL_PRETTY GOOD_208_DH_FULL.wav	MY KITCHEN RULES SERIES 12 DH (BACKGROUND) 	DH 50 HUXTABLE David/ 10 STEWART Mitchell/ 20 WICKS Dinesh/ 20 GOCK Adam		RED MUSIC PUBLISHING	Positive/optimistic tone, tracks that bubble along and don’t get in the way of dialogue, element of warmth.		Neutral / Positive	
SERIES 12	MKRS12_POSITIVE_WINNING FEELING_204_DH_FULL.wav	MY KITCHEN RULES SERIES 12 DH (BACKGROUND) 	DH 50 HUXTABLE David/ 10 STEWART Mitchell/ 20 WICKS Dinesh/ 20 GOCK Adam		RED MUSIC PUBLISHING	More orchestral / band approach to positive result.		Positive Result	
